Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas
Sub-Saharan Africa (IDA & IBRD countries),3720808578,70.2864319,39.7893658,4.65892656,822819.034,NA
Trinidad and Tobago,2485584226,0.28038013,99.9195064,-0.912545,46273.873,3.11E+10
Tunisia,3469205883,12.9336297,88.8703881,2.97139835,28829.954,1.06E+10
Turkey,4259577121,11.6078875,89.5439509,5.16669072,345981.45,2.36E+11
Tuvalu,NA,0,NA,1.34801268,11.001,NA
Tanzania,2887371592,86.6736033,14.380617,6.73246187,11562.051,6.92E+12
Uganda,4693056685,90.2221301,NA,5.10630732,5229.142,3.84E+12
Ukraine,2048689522,3.49974622,75.3495058,-6.5526189,227298.995,1.19E+11
Upper middle income,429799373,13.1480721,87.0276735,4.04758582,16827139.3,NA
Uruguay,9926816159,55.3913387,46.2703079,3.23879123,6747.28,8.64E+10
United States,8220720319,8.75430895,83.0890424,2.45197304,5254279.29,2.11E+12
Uzbekistan,289000361,2.89678351,NA,7.17940886,105213.564,1.12E+13
St. Vincent and the Grenadines,2303093206,5.8009473,NA,1.21403892,209.019,62070000
"Venezuela, RB",1910406153,12.3158343,NA,-3.8943865,185220.17,7913800000
British Virgin Islands,NA,1.21680519,NA,NA,179.683,NA
Virgin Islands (U.S.),111658167,2.75500251,NA,-0.8662175,NA,NA
Vietnam,3489601505,37.0354726,NA,5.98365464,166910.839,4.00E+14
Vanuatu,1193385168,32.1428307,NA,2.33100621,154.014,1654000000
World,4593996796,17.870184,80.9114077,2.83318477,36138285,NA
Samoa,1264355999,42.3350774,NA,0.07824545,198.018,153714467
Kosovo,NA,21.4611559,86.121582,1.22280258,NA,555065519
"Yemen, Rep.",4833865267,0.97420097,NA,-0.1886902,22698.73,5.42E+10
South Africa,2672221238,16.5881622,86.7914317,1.8469916,489771.854,3.82E+11
Zambia,2849325189,88.0340373,NA,4.69582637,4503.076,9663700000
Zimbabwe,2280594966,81.0492915,NA,2.37692933,12020.426,2267427700
